ID,date,from,day_recorded,month_recorded,dnoregion,regionid,intensity_forecast,intensity_index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
0,2023-12-29,23:30,Friday,December,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,18.9,0.0,81.1
1,2023-12-29,23:30,Friday,December,SP Distribution,2,9,very low,0.7,0.0,0.0,2.2,23.9,0,10.5,0.0,62.7
2,2023-12-29,23:30,Friday,December,Electricity North West,3,5,very low,0.8,0.0,2.0,0.9,50.9,0,1.6,0.0,43.7
3,2023-12-29,23:30,Friday,December,NPG North East,4,10,very low,6.2,0.0,17.1,0.3,61.4,0,1.3,0.0,13.6
4,2023-12-29,23:30,Friday,December,NPG Yorkshire,5,69,low,22.1,0.0,2.6,10.6,8.2,0,0.2,0.0,56.3
5,2023-12-29,23:30,Friday,December,SP Manweb,6,3,very low,0.4,0.0,0.6,0.7,21.6,0,5.2,0.0,71.4
6,2023-12-29,23:30,Friday,December,WPD South Wales,7,104,low,1.2,0.6,0.7,24.4,16.7,0,1.3,0.0,55.1
7,2023-12-29,23:30,Friday,December,WPD West Midlands,8,27,very low,2.7,1.3,1.4,3.0,31.6,0,2.5,0.0,57.5
8,2023-12-29,23:30,Friday,December,WPD East Midlands,9,115,low,11.2,5.7,1.6,12.2,7.8,0,0.1,0.0,61.4
9,2023-12-29,23:30,Friday,December,UKPN East,10,38,very low,0.0,0.0,3.7,8.9,24.3,0,0.0,0.0,63.1
10,2023-12-29,23:30,Friday,December,WPD South West,11,227,high,2.3,1.1,7.7,53.7,4.6,0,0.8,0.0,29.7
11,2023-12-29,23:30,Friday,December,SSE South,12,121,moderate,4.4,1.9,14.5,24.1,7.3,0,1.4,0.0,46.4
12,2023-12-29,23:30,Friday,December,UKPN London,13,48,low,0.0,0.0,19.8,10.8,14.0,0,1.2,0.0,54.2
13,2023-12-29,23:30,Friday,December,UKPN South East,14,60,low,0.0,0.0,44.2,13.1,2.4,0,2.8,0.0,37.6
14,2023-12-29,23:30,Friday,December,England,15,64,low,4.5,1.1,11.9,11.4,21.2,0,1.1,0.0,48.8
15,2023-12-29,23:30,Friday,December,Scotland,16,8,very low,0.6,0.0,0.0,1.8,17.0,0,11.6,0.0,69.1
16,2023-12-29,23:30,Friday,December,Wales,17,47,low,0.2,0.0,0.0,11.9,4.7,0,11.2,0.0,72.1
17,2023-12-29,23:30,Friday,December,GB,18,56,low,3.8,0.9,9.7,10.3,19.6,0,3.0,0.0,52.7
18,2023-12-30,00:00,Saturday,December,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,18.3,0.0,81.7
19,2023-12-30,00:00,Saturday,December,SP Distribution,2,9,very low,0.7,0.0,0.0,2.1,21.6,0,10.4,0.1,65.2
20,2023-12-30,00:00,Saturday,December,Electricity North West,3,4,very low,0.9,0.0,2.3,0.6,52.0,0,1.6,0.0,42.6
21,2023-12-30,00:00,Saturday,December,NPG North East,4,11,very low,6.9,0.0,19.3,0.3,60.0,0,1.2,0.1,12.2
22,2023-12-30,00:00,Saturday,December,NPG Yorkshire,5,67,low,22.1,0.0,2.3,10.2,6.7,0,0.1,0.0,58.4
